@RELATION audio_steganalysis

@ATTRIBUTE zcr REAL
@ATTRIBUTE entropy REAL
@ATTRIBUTE lsb_flipping_ratio REAL
@ATTRIBUTE lsb_flipping_rate REAL
@ATTRIBUTE median REAL
@ATTRIBUTE mean REAL
@ATTRIBUTE rms_amplitude REAL
@ATTRIBUTE short_time_energy REAL
@ATTRIBUTE short_time_average_magnitude REAL
@ATTRIBUTE pitch REAL
@ATTRIBUTE spectral_entropy REAL
@ATTRIBUTE spectral_centriod REAL
@ATTRIBUTE spectral_bandwidth REAL
@ATTRIBUTE spectral_rolloff REAL
@ATTRIBUTE spectral_irregularity REAL
@ATTRIBUTE spectral_variation REAL
@ATTRIBUTE spectral_smoothness REAL
@ATTRIBUTE class {male,female}

@DATA
222.2320,-4894.2056,922337203685477.6000,0.0000,0.3652,8.1920,32.7409,2020191041.0240,728.9239,593.5625,-11441237.7101,1257.0472,1149.7213,2314.7500,57528.2341,5096417.9397,1316233.2536,female
280.1706,-5467.3964,922337203685477.6000,0.0000,0.5264,40.9206,31.3806,2707035333.5873,665.8382,923.4251,-11941347.2884,1240.1567,1110.8686,1919.9839,44965.7872,5996633.6998,1136731.7249,female
291.1633,-5327.2366,922337203685477.6000,0.0000,0.4996,2.4542,56.7297,8011909643.2191,1316.9517,839.7037,-21021007.6760,1305.3755,1171.8963,2077.5336,56220.3727,9611565.0974,1796092.1900,female
277.7231,-4649.3726,922337203685477.6000,0.0000,-0.4558,29.5795,27.5506,1722068713.3538,635.8852,593.6298,-11185547.4837,1444.7632,1316.5451,2552.8846,48697.3753,5992678.8985,1249593.3430,female
317.8844,-4060.7681,922337203685477.6000,0.0000,0.6049,31.1676,55.0013,5981596632.0462,1201.5263,880.2384,-22026646.7676,1428.1119,1289.2487,2423.4104,78248.1724,8788150.3397,2494928.3270,female
277.3207,-6196.0750,922337203685477.6000,0.0000,4.3786,1.6878,20.5106,1280288510.3797,430.2954,601.7603,-9319762.3341,1429.1467,1295.7914,2510.7793,40262.6007,5036877.9474,1046606.5686,female
371.0959,-4514.2595,922337203685477.6000,0.0000,-1.0345,35.7260,69.3979,11295203182.9041,1388.7263,1044.6811,-34209477.4954,1619.5493,1445.5195,2526.0595,73415.5472,17246540.6952,3263919.9101,female
329.3125,-6174.5631,922337203685477.6000,0.0000,0.7763,8.5526,46.7457,6374912418.1053,1077.3001,886.7701,-17909351.3003,1472.6598,1321.4821,2452.7395,54218.2500,7239306.6282,1906246.8129,female
213.0290,-5767.2902,922337203685477.6000,0.0000,0.1459,-2.5507,14.8579,444257365.3333,335.9500,551.4795,-5012071.7435,1159.4206,1062.8151,2228.5628,37341.7460,2421081.5690,621067.9218,female
240.7136,-4862.5117,922337203685477.6000,0.0000,-0.1565,-138.1165,92.5504,18957335678.1359,2130.2582,650.0303,-36602668.4797,1213.1685,1102.4285,2132.3574,84672.8536,14770062.6370,3499871.6863,female
286.3333,-4275.5945,922337203685477.6000,0.0000,-2.5369,6.8995,79.7003,12853392069.7566,1742.4136,800.4299,-35426528.5655,1346.3976,1212.9240,2157.5314,83045.3949,14867796.6751,3456485.2507,female
204.2240,-4312.6972,922337203685477.6000,0.0000,-2.1475,-51.9167,31.7598,2159383079.6667,689.1989,507.5684,-12746265.8343,1124.0945,1030.1090,2039.2660,58985.0044,5588252.6535,1528477.8155,female
309.8246,-6026.3533,922337203685477.6000,0.0000,-0.1569,0.6035,52.0630,7699550075.7333,1172.7911,781.1129,-20539789.3987,1432.1954,1293.1441,2474.6985,62702.1868,10057119.1671,2281868.7397,female
335.9893,-5020.8261,922337203685477.6000,0.0000,4.2570,-1.3690,18.9136,832904152.6417,391.9225,858.7901,-8825913.4440,1601.8960,1436.8367,2633.0632,39797.5216,5044372.6186,1004186.7386,female
277.6832,-6246.3910,922337203685477.6000,0.0000,0.6413,41.0561,58.4078,10527204141.8350,1333.9043,805.0485,-23681530.9507,1286.8300,1159.8989,2207.5340,69459.7867,10327234.3739,2862634.6185,female
281.8984,-7930.4231,922337203685477.6000,0.0000,0.5413,-7.8699,16.0543,866695376.3902,328.2447,485.3595,-5481785.8199,1318.0797,1191.4667,2389.7040,34052.3455,3619023.1585,645568.6598,female
124.7588,-5346.9456,922337203685477.6000,0.0000,0.2951,-106.5176,27.9054,1257949552.1882,710.4705,287.0864,-5582510.2288,827.8080,774.0679,1501.2408,77638.7898,1617480.9551,892712.7052,female
211.4679,-4997.2942,922337203685477.6000,0.0000,0.4293,-10.9358,21.4847,879887653.5780,450.5330,529.8882,-7560907.3957,1131.6334,1040.3257,2089.3779,46616.6787,3819197.3987,858509.8064,female
